Timestamp,HandLimb,Joint,Row,Column
99,Thumb,surface,4,0,
99,Thumb,surface,3,2,
99,Palm,surface,10,0,
99,Palm,surface,11,0,
100,Palm,surface,13,0,
100,Palm,surface,12,0,
100,Palm,surface,12,1,
100,Palm,surface,14,0,
100,Palm,surface,13,1,
100,Palm,surface,11,0,
101,Palm,surface,13,0,
101,Palm,surface,15,2,
101,Palm,surface,14,2,
101,Palm,surface,16,2,
101,Palm,surface,16,0,
101,Palm,surface,14,0,
101,Palm,surface,13,1,
101,Palm,surface,15,0,
101,Palm,surface,16,1,
101,Palm,surface,14,1,
101,Palm,surface,15,1,
102,Palm,surface,15,3,
102,Palm,surface,17,1,
102,Palm,surface,15,2,
102,Palm,surface,14,2,
102,Palm,surface,16,2,
102,Palm,surface,18,2,
102,Palm,surface,16,3,
102,Palm,surface,16,0,
102,Palm,surface,17,3,
102,Palm,surface,17,2,
102,Palm,surface,15,0,
102,Palm,surface,16,1,
102,Palm,surface,17,0,
102,Palm,surface,18,1,
102,Palm,surface,14,1,
102,Palm,surface,15,1,
103,Palm,surface,17,4,
103,Palm,surface,18,5,
103,Palm,surface,19,4,
103,Palm,surface,18,2,
103,Palm,surface,16,3,
103,Palm,surface,19,5,
103,Palm,surface,17,3,
103,Palm,surface,17,2,
103,Palm,surface,16,4,
103,Palm,surface,17,5,
103,Palm,surface,19,3,
103,Palm,surface,18,3,
103,Palm,surface,18,4,
104,Palm,surface,18,5,
104,Palm,surface,19,4,
104,Palm,surface,19,5,
104,Palm,surface,18,6,
104,Palm,surface,19,6,
104,Palm,surface,18,4,
118,Palm,surface,5,8,
118,Palm,surface,4,8,
118,Palm,surface,4,7,
118,Palm,surface,5,7,
119,Palm,surface,5,5,
119,Palm,surface,6,5,
119,Palm,surface,5,8,
119,Palm,surface,6,8,
119,Palm,surface,4,6,
119,Palm,surface,7,6,
119,Palm,surface,4,8,
119,Palm,surface,6,6,
119,Palm,surface,4,5,
119,Palm,surface,4,7,
119,Palm,surface,7,7,
119,Palm,surface,5,6,
119,Palm,surface,5,7,
119,Palm,surface,6,7,
120,Palm,surface,5,5,
120,Palm,surface,7,4,
120,Thumb,surface,2,6,
120,Palm,surface,9,5,
120,Palm,surface,6,5,
120,Palm,surface,9,6,
120,Palm,surface,8,5,
120,Palm,surface,8,7,
120,Palm,surface,7,6,
120,Palm,surface,7,5,
120,Palm,surface,6,6,
120,Palm,surface,8,6,
120,Palm,surface,6,4,
120,Palm,surface,7,7,
120,Thumb,surface,4,6,
120,Palm,surface,8,4,
120,Thumb,surface,3,6,
120,Palm,surface,6,7,
121,Thumb,surface,6,4,
121,Palm,surface,9,5,
121,Thumb,surface,4,4,
121,Thumb,surface,3,4,
121,Palm,surface,9,6,
121,Palm,surface,8,5,
121,Palm,surface,10,5,
121,Palm,surface,11,5,
121,Thumb,surface,5,6,
121,Thumb,surface,6,5,
121,Palm,surface,11,4,
121,Palm,surface,10,6,
121,Palm,surface,9,3,
121,Palm,surface,8,6,
121,Palm,surface,9,4,
121,Thumb,surface,5,5,
121,Thumb,surface,3,5,
121,Palm,surface,8,3,
121,Thumb,surface,4,6,
121,Palm,surface,8,4,
121,Thumb,surface,3,6,
121,Thumb,surface,4,5,
121,Thumb,surface,6,6,
121,Thumb,surface,5,4,
121,Palm,surface,10,4,
121,Palm,surface,10,3,
122,Palm,surface,12,5,
122,Thumb,surface,6,4,
122,Thumb,surface,6,3,
122,Palm,surface,9,5,
122,Thumb,surface,4,4,
122,Thumb,surface,7,6,
122,Palm,surface,12,3,
122,Palm,surface,10,5,
122,Palm,surface,11,5,
122,Thumb,surface,5,6,
122,Thumb,surface,6,5,
122,Palm,surface,11,4,
122,Palm,surface,10,6,
122,Palm,surface,9,3,
122,Thumb,surface,7,5,
122,Palm,surface,9,4,
122,Thumb,surface,5,5,
122,Palm,surface,11,2,
122,Thumb,surface,5,3,
122,Thumb,surface,4,6,
122,Thumb,surface,7,3,
122,Thumb,surface,4,5,
122,Thumb,surface,6,6,
122,Thumb,surface,5,4,
122,Palm,surface,10,4,
122,Palm,surface,10,3,
122,Palm,surface,12,4,
122,Palm,surface,11,3,
122,Thumb,surface,7,4,
122,Palm,surface,11,6,
122,Thumb,surface,4,3,
123,Palm,surface,12,5,
123,Thumb,surface,6,4,
