Timestamp,HandLimb,Joint,Row,Column
1806,Palm,surface,11,2,
1806,Palm,surface,13,3,
1806,Palm,surface,12,4,
1806,Thumb,surface,7,6,
1806,Palm,surface,10,4,
1806,Palm,surface,11,4,
1806,Palm,surface,13,2,
1806,Thumb,surface,9,6,
1806,Palm,surface,12,2,
1806,Palm,surface,13,5,
1806,Thumb,surface,5,6,
1806,Thumb,surface,6,6,
1806,Thumb,surface,8,5,
1806,Thumb,surface,6,5,
1806,Palm,surface,14,3,
1806,Thumb,surface,7,5,
1806,Palm,surface,12,5,
1806,Palm,surface,11,3,
1806,Palm,surface,11,5,
1806,Palm,surface,14,4,
1806,Thumb,surface,7,4,
1807,Palm,surface,10,3,
1807,Thumb,surface,8,6,
1807,Palm,surface,12,3,
1807,Palm,surface,13,4,
1807,Palm,surface,13,3,
1807,Palm,surface,12,4,
1807,Thumb,surface,7,6,
1807,Palm,surface,10,4,
1807,Palm,surface,11,4,
1807,Palm,surface,11,6,
1807,Palm,surface,13,5,
1807,Thumb,surface,5,6,
1807,Thumb,surface,6,6,
1807,Palm,surface,12,6,
1807,Thumb,surface,6,5,
1807,Thumb,surface,7,5,
1807,Palm,surface,12,5,
1807,Palm,surface,11,3,
1807,Palm,surface,11,5,
1807,Palm,surface,10,5,
1808,Palm,surface,11,7,
1808,Palm,surface,9,7,
1808,Palm,surface,9,4,
1808,Palm,surface,10,4,
1808,Palm,surface,11,4,
1808,Palm,surface,11,6,
1808,Palm,surface,9,6,
1808,Palm,surface,10,6,
1808,Palm,surface,10,7,
1808,Palm,surface,12,6,
1808,Palm,surface,12,5,
1808,Palm,surface,11,5,
1808,Palm,surface,9,5,
1808,Palm,surface,10,5,
1809,Palm,surface,11,7,
1809,Palm,surface,9,7,
1809,Palm,surface,9,8,
1809,Palm,surface,11,8,
1809,Palm,surface,9,6,
1809,Palm,surface,10,6,
1809,Palm,surface,10,7,
1809,Palm,surface,10,8,
1809,Palm,surface,8,7,
1809,Palm,surface,8,8,
1834,Palm,surface,3,0,
1834,Palm,surface,4,0,
1835,Palm,surface,5,0,
1835,Thumb,surface,2,5,
1835,Thumb,surface,2,4,
1835,Palm,surface,6,0,
1835,Thumb,surface,1,3,
1835,Thumb,surface,1,6,
1835,Thumb,surface,0,4,
1835,Palm,surface,6,1,
1835,Palm,surface,7,0,
1835,Thumb,surface,0,5,
1835,Thumb,surface,1,4,
1835,Palm,surface,4,0,
1835,Palm,surface,5,1,
1835,Palm,surface,8,0,
1835,Thumb,surface,0,6,
1835,Thumb,surface,1,5,
1835,Thumb,surface,2,6,
1835,Palm,surface,7,1,
1835,Thumb,surface,0,3,
1836,Thumb,surface,4,5,
1836,Thumb,surface,2,5,
1836,Thumb,surface,2,4,
1836,Thumb,surface,3,5,
1836,Palm,surface,8,1,
1836,Palm,surface,6,0,
1836,Thumb,surface,1,3,
1836,Thumb,surface,3,6,
1836,Palm,surface,7,0,
1836,Palm,surface,9,0,
1836,Thumb,surface,3,4,
1836,Palm,surface,8,2,
1836,Thumb,surface,1,4,
1836,Thumb,surface,4,4,
1836,Palm,surface,10,0,
1836,Palm,surface,8,0,
1836,Thumb,surface,3,3,
1836,Thumb,surface,2,3,
1836,Palm,surface,10,1,
1836,Thumb,surface,1,5,
1836,Thumb,surface,2,6,
1836,Palm,surface,7,1,
1836,Palm,surface,9,1,
1837,Thumb,surface,4,5,
1837,Thumb,surface,6,5,
1837,Thumb,surface,3,5,
1837,Palm,surface,12,1,
1837,Thumb,surface,4,3,
1837,Thumb,surface,6,3,
1837,Palm,surface,11,0,
1837,Thumb,surface,5,3,
1837,Thumb,surface,5,5,
1837,Palm,surface,9,0,
1837,Thumb,surface,3,4,
1837,Thumb,surface,5,6,
1837,Palm,surface,11,1,
1837,Thumb,surface,4,4,
1837,Palm,surface,10,0,
1837,Thumb,surface,3,3,
1837,Thumb,surface,5,4,
1837,Palm,surface,10,1,
1837,Palm,surface,9,2,
1837,Thumb,surface,6,4,
1837,Thumb,surface,4,6,
1837,Palm,surface,10,2,
1837,Palm,surface,9,1,
1837,Palm,surface,11,2,
1838,Thumb,surface,8,4,
1838,Thumb,surface,6,5,
1838,Palm,surface,11,3,
1838,Thumb,surface,7,4,
1838,Palm,surface,12,1,
1838,Palm,surface,13,1,
1838,Thumb,surface,6,3,
1838,Thumb,surface,6,6,
1838,Palm,surface,13,2,
1838,Thumb,surface,5,3,
1838,Thumb,surface,5,5,
1838,Palm,surface,12,2,
1838,Palm,surface,11,1,
1838,Thumb,surface,6,2,
1838,Thumb,surface,7,6,
1838,Thumb,surface,5,4,
1838,Thumb,surface,8,5,
1838,Thumb,surface,7,3,
1838,Thumb,surface,6,4,
1838,Palm,surface,12,3,
1838,Palm,surface,11,2,
1838,Thumb,surface,7,5,
1839,Thumb,surface,8,4,
1839,Thumb,surface,8,3,
1839,Thumb,surface,7,4,
1839,Thumb,surface,9,2,
1839,Thumb,surface,6,3,
1839,Thumb,surface,7,2,
1839,Palm,surface,13,2,
1839,Palm,surface,14,2,
1839,Thumb,surface,9,3,
1839,Thumb,surface,9,4,
1839,Thumb,surface,8,5,
1839,Thumb,surface,7,3,
1839,Thumb,surface,6,4,
1839,Thumb,surface,8,2,
1839,Thumb,surface,9,5,
1839,Thumb,surface,7,5,
1840,Thumb,surface,8,4,
1840,Thumb,surface,8,3,
1840,Thumb,surface,9,2,
1840,Thumb,surface,10,3,
1840,Thumb,surface,10,4,
1840,Thumb,surface,10,5,
1840,Thumb,surface,9,3,
1840,Thumb,surface,9,4,
1840,Thumb,surface,8,5,
1840,Thumb,surface,10,2,
1840,Thumb,surface,11,3,
1840,Thumb,surface,8,2,
1840,Thumb,surface,9,5,
1840,Thumb,surface,11,4,
1841,Thumb,surface,8,4,
1841,Thumb,surface,8,3,
1841,Thumb,surface,9,2,
1841,Thumb,surface,10,3,
1841,Thumb,surface,10,4,
1841,Thumb,surface,10,5,
1841,Thumb,surface,9,3,
1841,Thumb,surface,9,4,
1841,Thumb,surface,10,2,
1841,Thumb,surface,11,3,
1841,Thumb,surface,11,2,
1841,Thumb,surface,9,5,
1841,Thumb,surface,11,4,
1842,Thumb,surface,9,2,
1842,Thumb,surface,10,3,
1842,Thumb,surface,10,4,
1842,Thumb,surface,10,5,
1842,Thumb,surface,9,3,
1842,Thumb,surface,9,4,
1842,Thumb,surface,10,2,
1842,Thumb,surface,11,3,
1842,Thumb,surface,11,2,
1842,Thumb,surface,11,5,
1842,Thumb,surface,11,4,
1843,Thumb,surface,9,5,
1843,Thumb,surface,10,3,
1843,Thumb,surface,10,4,
1843,Thumb,surface,10,5,
1843,Thumb,surface,9,3,
1843,Thumb,surface,9,4,
1843,Thumb,surface,10,2,
1843,Thumb,surface,11,3,
1843,Thumb,surface,11,2,
1843,Thumb,surface,11,5,
1843,Thumb,surface,11,4,
1844,Thumb,surface,9,5,
1844,Palm,surface,15,4,
1844,Palm,surface,14,3,
1844,Thumb,surface,8,4,
1844,Thumb,surface,10,3,
1844,Thumb,surface,10,4,
1844,Thumb,surface,9,6,
1844,Thumb,surface,10,5,
1844,Palm,surface,15,3,
1844,Thumb,surface,9,3,
1844,Thumb,surface,9,4,
1844,Palm,surface,14,4,
1844,Thumb,surface,10,6,
1844,Thumb,surface,11,3,
1844,Thumb,surface,8,5,
1844,Thumb,surface,11,5,
1844,Thumb,surface,11,4,
1845,Thumb,surface,9,5,
1845,Palm,surface,15,4,
1845,Palm,surface,14,3,
1845,Thumb,surface,8,4,
1845,Palm,surface,13,3,
1845,Palm,surface,14,2,
1845,Thumb,surface,10,4,
1845,Thumb,surface,9,6,
1845,Thumb,surface,10,5,
1845,Thumb,surface,8,6,
1845,Palm,surface,15,3,
1845,Palm,surface,13,4,
1845,Palm,surface,13,5,
1845,Palm,surface,15,5,
1845,Thumb,surface,9,4,
1845,Palm,surface,14,4,
1845,Thumb,surface,10,6,
1845,Thumb,surface,7,5,
1845,Thumb,surface,8,5,
1845,Palm,surface,16,4,
1845,Palm,surface,14,5,
1846,Thumb,surface,9,5,
1846,Palm,surface,15,4,
1846,Palm,surface,14,3,
1846,Palm,surface,14,6,
1846,Palm,surface,13,3,
1846,Palm,surface,12,5,
1846,Palm,surface,12,3,
1846,Thumb,surface,9,6,
1846,Palm,surface,11,5,
1846,Thumb,surface,8,6,
1846,Palm,surface,11,4,
1846,Palm,surface,13,4,
1846,Palm,surface,13,5,
1846,Palm,surface,15,5,
1846,Palm,surface,12,4,
1846,Palm,surface,14,4,
1846,Thumb,surface,10,6,
1846,Palm,surface,12,6,
1846,Thumb,surface,8,5,
1846,Palm,surface,13,6,
1846,Palm,surface,14,5,
1846,Thumb,surface,7,6,
1847,Palm,surface,13,7,
1847,Palm,surface,12,7,
1847,Palm,surface,14,6,
1847,Palm,surface,12,5,
1847,Palm,surface,11,5,
1847,Palm,surface,11,7,
1847,Palm,surface,13,5,
1847,Palm,surface,14,7,
1847,Palm,surface,12,4,
1847,Palm,surface,12,6,
1847,Palm,surface,11,6,
1847,Palm,surface,13,6,
1847,Palm,surface,14,5,
1848,Palm,surface,11,9,
1848,Palm,surface,11,8,
1848,Palm,surface,11,7,
1848,Palm,surface,10,7,
1848,Palm,surface,12,8,
1848,Palm,surface,10,8,
1848,Palm,surface,10,9,
